Country,Last,Previous,Reference,Unit
Afghanistan,10.9,11.5,Dec/22,%
Albania,58.9,64.5,Dec/23,%
Algeria,55.1,55.6,Dec/23,%
Angola,60.5,50.7,Dec/23,%
Argentina,155,84.5,Dec/23,%
Armenia,48.1,49.27,Dec/23,%
Australia,43.8,42.8,Dec/24,%
Austria,77.8,78.4,Dec/23,%
Azerbaijan,21.9,11.7,Dec/23,%
Bahamas,81.5,88.6,Dec/23,%
Bahrain,121,118,Dec/23,%
Bangladesh,31.7,29.5,Dec/23,%
Belarus,24,33,Dec/23,%
Belgium,103,103,Dec/23,%
Belize,66.8,67.1,Dec/23,%
Benin,53,54.2,Dec/23,%
Bhutan,123,127,Dec/23,%
Bolivia,80.8,80,Dec/23,%
Bosnia and Herzegovina,17.1,20.8,Dec/23,%
Botswana,22,20.7,Dec/23,%
Brazil,84.68,83.94,Dec/23,%
Brunei,2.3,2.1,Dec/23,%
Bulgaria,22.3,22.2,Feb/25,%
Burkina Faso,61.2,58.3,Dec/23,%
Burundi,15.9,14.5,Dec/23,%
Cambodia,35.3,34.8,Dec/23,%
Cameroon,41.9,45.3,Dec/23,%
Canada,108,107,Dec/23,%
Cape Verde,115,127,Dec/23,%
Cayman Islands,7.6,9.2,Dec/23,%
Central African Republic,55.7,54.2,Dec/23,%
Chad,35.1,48.8,Dec/23,%
Chile,39.4,37.8,Dec/23,%
China,83.4,77.4,Dec/23,%
Colombia,54.3,60.1,Dec/23,%
Comoros,28.4,31.6,Dec/23,%
Congo,13.3,14.5,Dec/23,%
Costa Rica,61.12,62.99,Dec/23,%
Croatia,63.5,68.2,Dec/23,%
Cuba,119,117,Dec/22,%
Cyprus,73.6,81,Dec/23,%
Czech Republic,43.6,42.5,Dec/24,%
Denmark,29.3,29.8,Dec/23,%
Djibouti,45,47,Dec/23,%
Dominican Republic,60.02,59.55,Dec/23,%
Ecuador,55.4,57,Dec/23,%
Egypt,95.8,87.2,Dec/23,%
El Salvador,84.68,83.35,Dec/23,%
Equatorial Guinea,42.4,34.6,Dec/23,%
Eritrea,164,175,Dec/22,%
Estonia,20.2,19.1,Dec/23,%
Ethiopia,38,46,Dec/23,%
Euro Area,87.4,89.5,Dec/23,%
European Union,80.8,82.5,Dec/23,%
Fiji,75.6,91.1,Dec/23,%
Finland,75.8,73.5,Dec/23,%
France,111,112,Dec/23,%
Gabon,70.5,63.6,Dec/23,%
Gambia,75.1,82.8,Dec/23,%
Georgia,39.8,41.3,Dec/23,%
Germany,62.9,65,Dec/23,%
Ghana,84.9,92.4,Dec/23,%
Greece,162,173,Dec/23,%
Guatemala,27.2,29.01,Dec/23,%
Guinea,42.4,36.8,Dec/23,%
Guinea Bissau,35.3,41.1,Dec/23,%
Guyana,26.4,26.5,Dec/23,%
Haiti,28.5,29.5,Dec/23,%
Honduras,44.95,49.75,Dec/23,%
Hong Kong,9,6.3,Dec/24,%
Hungary,73.4,73.8,Dec/23,%
Iceland,64.8,67.4,Dec/23,%
India,81.59,82.49,Dec/23,%
Indonesia,39.3,39.9,Dec/23,%
Iran,30.6,34.1,Dec/23,%
Iraq,49.2,44.9,Dec/23,%
Ireland,43.7,44.4,Dec/23,%
Israel,69,61.3,Dec/24,%
Italy,135,135,Dec/24,%
Ivory Coast,35.9,34.4,Dec/23,%
Jamaica,73.3,77,Dec/23,%
Japan,255,260,Dec/23,%
Jordan,89.2,88.6,Dec/23,%
Kazakhstan,22.8,24.4,Dec/23,%
Kenya,70.1,66.7,Dec/23,%
Kosovo,17.52,20.04,Dec/23,%
Kuwait,3.4,3.1,Dec/23,%
Kyrgyzstan,44.7,63.3,Dec/23,%
Laos,74.15,69.74,Dec/23,%
Latvia,45,44.4,Dec/23,%
Lebanon,195,255,Dec/23,%
Lesotho,59,59.9,Dec/23,%
Liberia,51,51.3,Dec/23,%
Lithuania,37.3,38.1,Dec/23,%
Luxembourg,25.7,24.7,Dec/23,%
