isin,ticker,name,exchange,description
CH0016999846,CSBGC7.SW,"iShares Swiss Domestic Government Bond 3-7 ETF (CH)",Swiss Exchange,"The Fund seeks to track the performance of an index composed of Swiss government bonds."
DE000A0H0785,EXHF.DE,"iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF (DE)",Deutsche Börse,"NA"
IE0000BH4WF5,IEXA.DE,"iShares € Corp Bond ex-Financials UCITS ETF",Deutsche Börse,"NA"
IE0005QL4147,UEDA.SW,"iShares $ Ultrashort Bond ESG UCITS ETF",SIX,
IE0007472115,0P00000RNA.F,"Vanguard Euro Government Bond Index Fund Investor EUR Accumulation",Frankfurt Stock Exchange,
IE0007XHW766,0P0001OF22.L,"Vanguard Global Credit Bond Ins GBPH Acc",London Stock Exchange,
IE0009591805,0P00000SQW.F,"Vanguard Euro Investment Grade Bond Index Fund Investor EUR Accumulation",Frankfurt Stock Exchange,"The Fund seeks to provide returns consistent with the performance of a market-weighted bond index of the euro investment-grade bond market with an intermediate-term weighted average maturity. For its benchmark index, the Fund will use the Barclays Capital Global Aggregate Euro Non-Government Float Adjusted Bond Index."
IE00098ZGGO6,IU0A.SW,"Ishares II PLC - Ishares Corp Bond 0-3yr Esg Ucits ETF",Swiss Exchange,
IE000AK4O3W6,IE3E.DE,"iShares € Corp Bond 0-3yr ESG UCITS ETF",Deutsche Börse,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI Index."
IE000IIOOR48,HYSD.L,"iShares Broad $ High Yield Corp Bond UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE BofAML US High Yield Constrained Index."
IE000LZC9NM0,TAHY.L,"Tabula Haitong Asia ex-Japan High Yield Corp USD Bond ESG UCITS ETF",London Stock Exchange,"NA"
IE000MCVFK47,XGBE.DE,"Xtrackers EUR Corporate Green Bond UCITS ETF",Deutsche Börse,"The fund is passively managed. The aim is for your investment to reflect the performance of the Bloomberg Barclays MSCI EUR Corporate and Agency Green Bond Index"
IE000RHYOR04,ERNX.DE,"iShares € Ultrashort Bond UCITS ETF",XETRA,"NA"
IE000X63FXN4,XGBB.L,"Xtrackers USD Corporate Green Bond UCITS ETF",LSE,"NA"
IE000YPT5PG3,EMDH.L,"L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF",London Stock Exchange,"NA"
IE000YZVB4R7,EHYG.L,"iShares € High Yield Corp Bond ESG UCITS ETF",LSE,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both  capital and income returns, which reflects the return of the Bloomberg Barclays MSCI US Corporate High Yield  Sustainable BB+ SRI Bond Index."
